Name,Summary
Treehouse Masters,"Often described as a tree whisperer by his clients, colleagues and contemporaries, Pete Nelson dedicates his life granting people's dreams of turning peaceful nooks in nature into the ultimate escapes. In Treehouse Masters, Nelson and his team execute the most outrageous treehouses designed to delight every whimsy, form and function. Whether he's contriving magnificent multi-bedroom treehouses with state-of-the-art kitchens and bathrooms or rendering simpler, peaceful one-room escapes, Nelson always goes out on a limb to create the most breathtaking treehouses with spectacular vistas."
Mike & Molly,"Police officer Mike Biggs knows his way around the Streets. As a cop, Mike's not scared of anything—except dating, so he's joined Overeaters Anonymous to lose those extra pounds and gain some Much-needed confidence. When he meets Molly at a meeting, the attraction is immediate, and suddenly Mike is excited about the prospect of a new life. But now he must find the willpower to give up his beloved junk food for the apple of his eye."
The Returned,"The Returned focuses on a small town that is turned upside down when several local people who have been long presumed dead suddenly reappear, having not aged and unaware of their own fatality. As they attempt to resume their lives, strange phenomena and gruesome murders begin to occur. <i>The Returned</i> takes an incredibly unique approach, filled with suspense and twists and turns, to the subject of the living dead."
The Exes,"The Exes revolves around three divorced men, ladies man Phil, homebody Haskell and newly-single and needy Stuart. The men live together in an apartment across the hall from their divorce attorney Holly, who also happens to be their landlord. Holly avoids her own relationship and commitment issues by becoming immersed in the men's affairs as they put their lives back together and return to the dating scene."
The Practice,"Set in Boston, The Practice centers on a firm of passionate attorneys to whom every case is important and every client worth a fight to the end. Pursuing justice, however, sometimes means crossing the line..."
Teen Titans,"Five teen superheroes led by Robin the Boy Wonder team up to protect Earth from a new generation of villains. His partners are Starfire, an alien who can fly; Cyborg, a half-human, half-robot with great strength; Raven, an introvert with telekinetic powers; and Beast Boy, who can change into any ki."
Secrets and Lies,"The explosive power of people's secrets and lies will once again take center stage in season two of ABC's hit drama, Secrets and Lies. No matter who you are, everyone has secrets and everybody tells lies. What will people do to keep their most intimate, devastating indiscretions from ruining their lives?"
The Little Couple,"The Little Couple, following newlyweds Bill Klein and Jen Arnold. Bill, a successful businessman, and Jen, a pediatrician, who are both under four feet tall, share their unique perspectives on life, love, and marriage."
The Field of Blood,"Adaptation of Denise Mina's thriller set in 1982. When the story of a murder has huge implications for her family, newspaper copy boy Paddy Meehan battles prejudices to get to the truth. As she inches closer to revealing the truth, her investigations place her in mortal danger."
Fresh Off the Boat,"It's the '90s and 12 year old, hip-hop loving Eddie just moved to suburban Orlando from DC's Chinatown with his parents. It's culture shock for his immigrant family in this comedy about pursuing the American Dream. Fresh Off the Boat is based on Chef Eddie Huang's memoir ""Fresh Off the Boat""."
Zoo,"Zoo is a global thriller about a wave of violent animal attacks against humans sweeping the planet. Jackson Oz is a young, renegade American zoologist who spends his days running safaris in the wilds of Africa when he begins noticing the strange behavior of the animals. As the assaults become more cunning, coordinated and ferocious, he is thrust into the race to unlock the mystery of the pandemic before there's no place left for people to hide.<br /><br />Based on James Patterson's #1 bestselling novel."
Plebs,"Rome is traditionally imagined as the home of emperors and senators, generals and gladiators, a dignified theatre of pomp and ceremony. But what about the little guys, the wasters - new to the big city, stuck in office jobs, unable to get the girls? Plebs follows three desperate young men from the suburbs as they try to get laid, hold down jobs and climb the social ladder in the big city - a city that happens to be Ancient Rome."
Boy Meets World,"Cory is your average guy. He has a best friend from the other side of the tracks, a teacher that constantly keeps him on his toes, and a friend named Topanga whom he has trouble understanding. With the support of his parents and his brother Eric, Cory learns to cope with the roller coaster called growing up."
The Red Road,"Lines will be crossed when tragedy forces two men, an ex-con &amp; a local cop, to face devastating secrets."
Remington Steele,"Private eye Laura Holt grudgingly accepts a new partner when a mystery man assumes the identity of her fictitious boss, Remington Steele. Together, the two battle crime as as their feelings for each other."
Birds of a Feather,Return of the classic sitcom. Sharon is back living in her council flat and Tracey is still in Chigwell with younger son Travis - but what has become of Dorien?
The Great Christmas Light Fight,"It's beginning to look a lot like Christmas with the hit holiday decorating competition series, The Great Christmas Light Fight. Decorating their homes to the extreme for Christmas, families and neighborhoods across America compete to win a cash prize and the coveted Light Fight trophy."
The Partridge Family,"It's TV's favorite family of rock 'n 'rollers, who hit the road in their groovy bus and turn the world on to the catchy pop songs such as ""I Think I Love You"", ""I Woke Up In Love This Morning"", and ""Somebody Wants to Love You"". The Partridge Family's six members feature mom Shirley and her five kids: Keith, Laurie, Danny, Tracy and Chris. And who can forget the Partridge's frequently exasperated manager Reuben Kincaid, who would become an important member of their family whether he liked it or not?"
Dig,"Dig tells the story of a murder mystery set against the backdrop of modern day Jerusalem, a city shrouded in ancient intrigue. FBI agent Peter Connelly has had his fair share of heartbreak. Anxious to leave his personal demons behind, Peter takes a job stationed in Israel under the guidance of his new boss, and occasional lover, Lynn Monahan. When he sets out to solve the murder of a young American, Peter soon finds himself embroiled in an international mystery that delves into the Holy Land's darkest secrets. What he discovers is a conspiracy thousands of years in-the -making that threatens to change the course of history. While Peter races to figure out what it all means, he quickly finds that he may not be the only one searching for answers."
Low Winter Sun,"Low Winter Sun is a contemporary story of murder, deception, revenge and corruption in a world where the line between cops and criminals is blurred. The series begins with the murder of a cop by a fellow Detroit detective. Seemingly the perfect crime, in reality the murder activates forces that will forever alter the detective's life, and pull him into the heart of the Detroit underworld."
Hellsing,Hellsing is a 13-part anime based on the manga of the same name. The plot is significantly difficult to that of the the manga although the characters are the same. The show mainly focuses on the hellsing institute that houses the anti-hero named Alucard who swore loyalty to the Helsing family many years before. Alucard being the first ever vampire takes on a new apprentice named Sera's.
Life's Too Short,Observational comedy starring Warwick Davis and written by Ricky Gervais and Stephen Merchant.
Happy Endings,"Forget who gets to keep the ring - when a couple splits, the real question is, who gets to keep the friends? Alex and Dave's wedding was supposed to be the happiest day of their lives, for them and their long-time friends - until Alex leaves groom-to-be Dave at the altar. The breakup, in the words of one pal, is a ""huge game changer"" that will complicate everyone's lives and make everyone question their own choices."
Gossip Girl,"The privileged prep school teens on Manhattan's Upper East Side first learn that notorious party girl Serena van der Woodsen is back in town the way they learn all the important news in their lives -- from the blog of the all-knowing albeit ultra-secretive Gossip Girl. No one knows Gossip Girl's identity, but everyone in this exclusive and complicated vicious circle relies on her website and text messages for the latest scoop. Even Serena's closest and most competitive friend, Blair Waldorf, is surprised to find that Serena has suddenly ended her self-imposed exile to boarding school and returned to Manhattan. This is a world you have to be born into, full of wealth, power, and prestige, keeping track of the constantly shifting friendships, jealousies and turmoil in this complex world isn't easy, but it's what Gossip Girl does best."
Sports Night,"Taut, exciting, realistic dramedy about the lives of sports journalists. It's a show about a show about sports, that isn't about sports at all."
The King of Queens,"Set in the working-class suburb of Queens, New York, the show follows Doug Heffernan, an amiable deliveryman, and his wife, spitfire secretary Carrie Heffernan, as they explore the everyday challenges of love, life, family and marriage."
Adventure Inc.,"When adventure calls... no place is too far, no risk is too high, and no task is too difficult for Adventure Inc. From his base in the Florida Keys, Judson Cross has assembled a team of young renegades - Mackenzie Previn and Gabriel Patterson, each with their own extraordinary skills and willing to risk it all for the love of adventure. Their methods may not be orthodox and they might risk their own safety, but they always get the job done."
Jessie,Jessie is a comedy series about a small-town girl who leaves behind her Texas roots and finds a job in the Big Apple as nanny to a high-flying couple's four precocious kids.
100 Things to Do Before High School,"100 Things to Do Before High School was created by Big Time Rush executive producer and creator Scott Fellows, this new show will follow three best friends as they navigate the highs and lows of middle school, with the help of a bucket list of adventures that help them overcome class cliques, terrifying bullies and clueless teachers. With real life and teen drama awaiting her after 8th grade graduation, CJ Parker has only a short time left to make the most of her middle school years. Together with her two lifelong best friends Fenwick and Crispo, she is determined to get the most out of this time, using an ever-expanding list of challenges as a guide. For this group, growing up means trying everything and taking chances while they still can."
Edge of Alaska,"Hidden deep in the wilderness of eastern Alaska is the toughest town in America: McCarthy. Once considered to be the state's very own ""Sin City,"" McCarthy is now an isolated town - a refuge for people who don't want to be found that's surrounded by extreme wilderness. While some believe in continuing the town's frontier way of life, others feel the future of McCarthy depends on dragging itself into the modern age. Which way of life will reign supreme on Edge of Alaska?"
The Young Indiana Jones Chronicles,"The Young Indiana Jones Chronicles was based on the Indiana Jones series of films. The series follows the Indiana Jones character (as a young boy and as a young man) as he was growing up and experiencing his early adventures, where he gets into trouble, learns life lessons and encounters various historical figures along the way. <i>The Young Indiana Jones Chronicles</i> was filmed on location all over the world ~ including England, Russia, Spain, Czechoslovakia, Kenya, France, India, China, Austria, Egypt, the United States, Morocco, Ireland, Italy, Africa, Turkey, Greece and Thailand."
The Fades,"Seventeen-year old Paul can see the spirits of the dead. When one of these restless spirits crosses back into the living world, he is forced into a fight to prevent the apocalypse."
The Mysteries of Laura,"Laura Diamond is a brilliant NYPD homicide detective who balances her ""Columbo"" day job with a crazy family life that includes two unruly twin boys and a soon-to-be ex-husband - also a cop - who just can't seem to sign the divorce papers. Between cleaning up after her boys and cleaning up the streets, she'd be the first to admit she has her ""hot mess"" moments in this hilariously authentic look at what it really means to be a working mom today. Somehow, she makes it all work with the help of her sexy and understanding partner, and things becomes even more complicated when her husband becomes her boss at the precinct. For Laura, every day is a high-wire balancing act."
Partners,"Partners is a comedy based on the lives of creators David Kohan and Max Mutchnick, about two life-long best friends and business partners whose ""bromance"" is tested when one of them is engaged to be married. Joe is an accomplished architect who leads with his head and not his heart, especially in his love life. That's in stark contrast to his gay co-worker, Louis, who is spontaneous, emotional and prone to exaggeration. Both have found joy in their love lives: Joe is newly engaged to Ali, a beautiful and sophisticated jewelry designer, while Louis is dating Wyatt, a vegan nurse who Louis insists is just a promotion away from becoming a doctor. As news of Joe's engagement settles, time will tell if their business and personal bond can adapt to the addition of two other important relationships."
The Nanny,"In The Nanny, a cosmetics saleswoman stumbles upon the opportunity to become a nanny to the three rambunctious children of rich, widowed Broadway producer Maxwell Sheffield. With her off-beat style of nurturing and straightforward honesty, she turns out to be the best thing that has ever happened to the family... whether they realize it or not."
WWE Monday Night RAW,"WWE Monday Night RAW is World Wrestling Entertainment's (formerly the WWF and the WWWF before that) premiere wrestling event and brand. Since its launch in 1993, WWE Monday Night RAW continues to air live on Monday nights. It is generally seen as the company's flagship program due to its prolific history, high ratings, weekly live format, and emphasis on pay-per-views. Monday Night RAW is high profile enough to attract frequent visits from celebrities who usually serve as guest hosts for a single live event. Since its first episode, the show has been broadcast live or recorded from more than 197 different arenas in 165 cities and towns in seven different nations: including the United States, Canada, the United Kingdom twice a year, Afghanistan for a special Tribute to the Troops, Germany, Japan, Italy and Mexico."
The L Word,An intimate drama series about a group of lesbian friends struggling with romance and careers in Los Angeles.
K-Ville,"Two years after Hurricane Katrina, much of New Orleans is still in chaos, so Felony Action Squad officer Marlin Boulet isn't worried about bending a few rules. His new partner, Trevor Cobb, is a veteran of the war in Afghanistan in search of redemption. Also on the squad are hotheaded Billy ""K-9"" Faust, wise guy Jeff ""Glue Boy"" Gooden, hardbitten Ginger ""Love Tap"" LeBeau and Capt. James Embry, who runs his team with equal parts humor and sheer grit."
Stalker,"Stalker is a psychological thriller about detectives who investigate stalking incidents - including voyeurism, cyber harassment and romantic fixation - for the Threat Assessment Unit of the LAPD. Det. Jack Larsen is a recent transfer to the Unit from New York City's homicide division, whose confidence, strong personality and questionable behavior has landed him in trouble before - but whose past behavior may also prove valuable in his new job. His boss, Lt. Beth Davis, is strong, focused and an expert in the field, driven by her traumatic personal experience as a victim. With the rest of their team, young but eager Det. Ben Caldwell and deceptively smart Det. Janice Lawrence Larsen and Davis assess the threat level of cases and respond before the stalking and intimidation spirals out of control, all while trying to keep their personal obsessions at bay."
"Dr. Quinn, Medicine Woman",The trials and adventures of a female doctor in a small wild west town.
The Colbert Report,"Feel the news along with Stephen Colbert, America's ballsiest pundit."
Mortal Kombat: Legacy,"In the beginning, the universe and its realms were in harmony, but even gods are not immune to power and greed. This balance was soon thrown into discord. The power-hungry gods challenged each other over the fates of their respective realms. They battled to the death in tournaments alongside mortal champions chosen from each realm. For millennia, Shao Kahn—the Emperor of Outworld—has successfully expanded his domain by defeating other realms. Edenia was the last realm to lose the tournament and fall to Shao Kahn. Ten years ago in the last tournament, Outworld and Earth-realm's warriors clashed, and Liu Kang emerged victorious. Earth-realm was spared. But now Shao Kahn's challenge has come again, and a new war is about to commence. The fate of Earth-realm and its inhabitants rests upon the outcome of this tournament. Let the kombat begin."
Deadly Women,"Hell hath no fury like a woman scorned, especially when she's on a mission to murder. Deadly Women investigates the motives and modus operandi of female murderers. While males are often driven by anger, impulse and destruction, women usually have more complex, long-term reasons to kill. Through dramatized reconstructions the series investigates the driving force behind female thrill killers. What turns love affairs into fatal attractions. How twisted minds and dark secrets send other women on murdering rampages. <i>Deadly Women</i> also investigates the most ruthless female killers of them all-predators. Tune in as experts sift forensic fact from fanciful fiction. Former FBI agent and profiler, Candice DeLong offers insights into the psychology of female killers, while Dr Janis Amatuzio, a Mid West forensic pathologist known as ""The Compassionate Coroner"", provides expert commentary on the tell-tale evidence that Deadly Women leave behind. They are history's most intriguing and horrifying women. A sisterhood whose crimes are written in blood on history's pages."
Vanity Fair Confidential,"Offering unprecedented access to the magazine's writers and editors, Vanity Fair Confidential takes viewers to the heart of some of the most controversial dramas in history - dramas centered at the cross section of power, wealth and celebrity."
Earth: Final Conflict,"In the early twenty-first century Earth is visited by the Taelons', an alien species, claiming to be companions of humanity. They use their superior technology and wisdom to help Earth solve its most pressing problems – famine, disease, war – but suspicions arise that a darker agenda may be part of the Taelons' ultimate plans.<br> The only hope to discover the truth falls to a small team of humans lead by William Boone, a former Special Forces soldier turned cop. After rescuing Da'an, the Taelon ""overseer"" for North America from assassination, Boone is made their interspecies liaison. Along with members of a budding underground human resistance movement, Boone investigates the purpose behind the Taelons' acts of benevolence to uncover the true intentions of their visit to Earth. Only one thing is certain, what they might discover will change humanity forever."
Whitney,"They say marriage is the number one cause of divorce. For Alex and Whitney, it's one of many reasons they're determined not to take the plunge.After going to yet another one of their friends' weddings, Whitney realizes that she and Alex are dangerously close to relationship boredom. She sees it happen all the time: pretty soon you're not dressing up for each other, you're not having enough sex, and you start fighting. Determined not to let that happen to them, Whitney consults her close circle of (opinionated) friends and snaps into action. A few awkward sexy costumes and one botched seductive evening later, they end up in the ER after Alex gets a concussion from a compromising position. Not exactly the mind-blowing experience she wanted, but you know what? That's all right. Their relationship might not be perfect on paper, but it works and they really do love each other.Bright young comedian Whitney Cummings brings her unique and hilarious perspective on love to this new comedy series that proves there's no right way to be together... but there are plenty of wrong ways."
Cupid,"Trevor Pierce is a larger than life character who insists that he is Cupid, the Roman god of love. He claims that he has been sent to New York City by Zeus to bring 100 romantically challenged couples together before being allowed to return to Mt. Olympus. His persistence eventually lands him in a mental institution. Three months later, Trevor is found to be harmless to himself and others and is released -- but under certain conditions. Placed under the care of psychiatrist and self-help author Dr. Claire McCrae, he must attend her singles group therapy sessions on a regular basis so that she can monitor his progress. Trevor returns to his rented room upstairs from the struggling Tres Equis Cantina, owned by Felix Araiza and his sister, Lita. In exchange for rent, Trevor becomes a bartender and creates an atmosphere for singles looking for lasting love. His ideas, such as half-price margarita nights and mariachi karaoke duets, could help him bring couples together and ultimately take him closer to the day that he gets to return to Mt. Olympus. No one believes Trevor's story, but everyone finds him to be quite charming. Although he possesses a great knowledge of Greek mythology, Claire finds that Trevor constantly interferes and contradicts her when it comes to her pragmatic style of helping lonely hearts find their soul mates. In true love, Claire believes it's all about friendship and mutual respect; for Trevor, heat and passion conquer all. Only time will tell who will win this battle for love."
Strange Empire,"Strange Empire is a Western whose heroes are women. With most of their men gone, and those who remain battling for control, the women struggle to survive, to find their independence, and to build a life in which to thrive and raise families. As the stories of Janestown's citizens unfold we see the clash between a power-hungry father and son and the deep prejudices among races, but also the start of something akin to community in this Wild West. Western stories take civilization as a goal; they begin in blood, and end in the morality of Main Street."
Benched,"Benched is a single-camera comedy about a high-powered corporate lawyer's fall from grace into the rough-and-tumble world of the public defenders. From ABC Signature Studio, it stars Coupe as Nina Whitley, a distinguished corporate lawyer who has given up everything in her climb to the top. However, when she's hit with her ex-fiancé's engagement announcement and learns that she hasn't made partner at her high power firm, Nina snaps -- breaking vases and burning bridges.Now that Nina is shunned from the corporate world, the only place she can get a job is at the Public Defender's office: home to the underfunded, understaffed, overworked, ""if you can't afford a lawyer, one will be provided... "" lawyers. In addition to her new clients, Nina must learn to connect with her co-workers, including the roguish Phil, the idealistic Carlos, the useless empathetic Cheryl and the dedicated intern Micah. If that didn't sound tough enough for Nina, she'll also be going head-to-head with her ex-fiancé, Trent, the rising star of the District Attorney's office."
Ally McBeal,"Meet Ally McBeal, a single lawyer both blessed and cursed with eccentric colleagues, a now-married-to-someone-else childhood sweetheart, and an incredibly overactive imagination that's working overtime!"
Dominion,"Dominion is an epic supernatural drama set in the near future. Specifically, 25 years after ""The Extinction War,"" when an army of lower angels, assembled by the archangel Gabriel, waged war against mankind. The archangel Michael, turning against his own kind, chose to side with humanity. Rising out of the ashes of this long battle are newly fortified cities which protect human survivors. At the center of the series is the city of Vega, a glistening empire that has formed from the ruins of what was once Las Vegas."
Family Ties,"Steve and Elyse Keaton, once 1960s radicals, now find themselves in Reagan-Era American trying to raise a traditional suburban family. Son Alex P. Keaton is an ambitious Young Republican and his sister Mallory is a shallow victim of the corporate culture, obsessed with music, clothes and boys. Their only normal kid is young Jennifer a bit of a tomboy."
Paradox,"Mysterious images that show incidents 18 hours before they happen are transmitted from space. As a space scientist attempts to explain their source, detectives race against time to change the future."
Extant,Molly Woods is an astronaut who returns home from a year-long solo mission in space and tries to reconnect with her husband and son in their everyday life. Her experiences in space and home lead to events that ultimately will change the course of human history.
Persons Unknown,Persons Unknown is a one-hour mystery drama in which a group of strangers must come together to solve the puzzle of their lives.
Standoff,"Standoff centers on Matt Flannery and Emily Lehman, top-ranked FBI crisis negotiators who are forced to come clean about their secret relationship after it is revealed during a tense hostage standoff that they are sleeping together. Too valuable as a team to be split up, they are now under the watchful eye of their boss and their colleagues. Standoff combines the crackling romantic relationship at its core with intense drama and humor as these negotiators vow not to cross the line and let their personal feelings get in the way of the job. But they learn quickly that, in life and in love, everything is a negotiation."
Rake,"On a single day, Keegan Deane is described as many things. His ex-wife-calls him ""unreliable""; his son calls him a ""pal""; most judges think he's ""an outrage""; the IRS calls him a ""defendant""; and to his former dealer, he's simply a ""tragic loss."" Brilliant, frustratingly charming and with zero filter, Keegan is one of life's great addicts. His staggering lack of discretion and inability to self-censor land him the cases that nobody else will touch, but behind that lies a resolute optimism and belief in justice that fuel his dogged determination to defend those who seem beyond redemption. He always tries to do the right thing, but at the same time struggles to save himself from the many self-destructive elements that plague his own life, such as his overindulgence of various excesses, including women and gambling."
Will & Grace,"Every straight girl needs a gay best friend, and interior designer Grace Adler found an ultimate accessory in her lawyer pal Will Truman. It's through this neurotic pair that the show's real stars -- Jack &amp; Karen - come together. ""Just Jack"" McFarland and his boozy, pill-popping sidekick Karen Walker fill in the foursome that made Will &amp; Grace classic TV and brought primetime to a whole new level of fabulous, while also winning 16 Emmy Awards in the process. With show-stopping guest appearances by Cher, Madonna, Britney, Janet, J-Lo, Ellen, Elton and most every gay icon under the sun, the milestones that Will &amp; Grace hit provided a foundation for all LGBT portrayals on TV today."
Home Improvement,"The universal themes of family, parenting, the battle of the sexes -- and of course, man's need for ""more power"" -- come to play each and every weekday on Home Improvement. Every episode finds Tim the ""Tool Man"" Taylor causing his share of goof-ups and mishaps and leaving his long-suffering wife, Jill, family and friends to mop up the mess."
Sanjay and Craig,Sanjay and Craig is a 20-episode series that tells a beautiful story about two best friends -- one of whom is a snake -- and the true adventures of being a kid.
Law & Order: UK,"In the criminal justice system, the people are represented by two separate, yet equally important groups: the police who investigate crime, and the Crown Prosecutors who prosecute the offenders. These are their stories.<i><br></i>"
Painkiller Jane,"In a very imaginable future, the world battles terrorism and unrest. Out of this chaos emerges a new hero: Jane Vasco, a.k.a. Painkiller Jane. Once the DEA's top agent, Jane Vasco is formidable, both mentally and physically. As a child, her father nicknamed her Painkiller Jane, describing her ability to mentally push through even the most painful situations. But her strength is about to be tested. Jane is recruited by a covert government agency dedicated to containing and, if necessary, neutralizing the threat of ""Neuros"" — individuals with superhuman neurological powers. No one knows what caused the aberrations that led to their enhanced abilities, which range from from telekinesis and telepathic suggestion to induced hallucinations. During her first investigation with her new team, Jane discovers that she too possesses an odd ability: she can't be killed. Unfortunately, she can still feel pain. Her newfound powers make Jane even more determined to learn everything there is to know about Neuros. Seldom malicious, Neuros often can't control their powers. Consequently, they tend to leave a trail of death and destruction. To prevent a panic, the government has kept the discovery of Neuros a secret, assembling a covert unit to identify and contain Neuros. Operating from a secure abandoned subway platform, the core members of the unit are Andre McBride, the seasoned team leader; Connor King, a special agent regularly armed with a smart remark; Riley Jensen, an evolved computer whiz in charge of surveillance and communications; Dr. Seth Carpenter, the unit's doctor and scientist; Joe Waterman, the middle-aged caretaker of the subway; and Maureen Bowers, Jane's former DEA partner and friend, who, like Jane, was recruited after discovering top-secret information about Neuros. Painkiller Jane is based on the comic-book series of the same name created by Jimmy Palmiotti and Joe Quesada."
Alice,"Abandoned by her father as a child, Alice is accustomed to men being unpredictable, but Jack Chase is on a completely different level. Just moments after surprising her with a rare family ring, he's suddenly kidnapped by two thugs and expelled into the ether. Alice is then confronted by a sharply dressed stranger who answers to the name White Rabbit, and who promises to reveal all of Jack's secrets. Alice follows him through the enormous liquid glass of an ornate mirror and ends up in Wonderland, an outlandish underground city of twisted towers and parapets conceived of in a Dali-like dream."
Cops,"COPS follows police officers, constables, and sheriff's deputies during patrols and various police activities by embedding camera crews with their units. The show's formula adheres to a classic <i>cinéma vérité</i> ethos. With no narration or scripted dialog, it depends entirely on the commentary of the officers and on the actions of the people with whom they come into contact."
Bella and the Bulldogs,"Middle schooler Bella Dawson left her life as a popular cheerleader behind to join the Bulldogs as their new star quarterback. Trading in her pom-poms for a pigskin was a total dream come true, but now Bella must find a balance between football and her cheerleading BFFs. Does she have what it takes to overcome the doubters and lead her team to victory, without compromising who she is? And what will happen when those worlds collide?"
Judging Amy,"Judging Amy is a drama about a single mother who has left New York behind to become a Family Court judge in Hartford, Connecticut. Judge Amy Gray is divorced and raising her young daughter, Lauren. They live with Amy's very opinionated mother Maxine, a social worker who is often at odds with her boss Sean. Amy has reestablished relationships with her younger brother Vincent, her older brother Peter and his wife Gillian. Assisting Amy in the courtroom are her Court Services officer Bruce Van Exel and her eager court-clerk-turned-lawyer Donna Kozlowski. Judging Amy is about three generations of women living together as they confront the personal and professional dilemmas in their changing, challenging lives."
Beavis and Butt-Head,"A national treasure in an age of idiocy… When Beavis and Butt-Head first appeared on MTV more than a decade ago, critics dismissed them as brainless couch potatoes who did nothing but watch TV and make lewd jokes about bodily functions. Today we know they were ahead of their time. Beavis and Butt-Head's unique idiocy profoundly changed television, movies, pop culture and the world."
Strip the Cosmos,"In each episode of Strip the Cosmos, stunning CGI strips major planets, moons, black holes, stars and galaxies of gases, minerals, rock, magma and gravitational force-fields – layer by layer – revealing the destiny, origins and structure of the universe. <i>Strip the Cosmos</i> will also explore fascinating mysteries including: What happens inside an exploding star?; Can you escape from being sucked into a black hole?; Do the insides of comets harbor life?; and can we travel through the cosmos inside an asteroid?"
Survivors,"When a deadly virus wipes out most of the world's population, a handful of survivors struggle to stay alive."
New Girl,"New Girl is a single-camera ensemble comedy starring Zooey Deschanel as Jess, an offbeat girl who - after a bad breakup - moves in with three single guys and essentially sets a bomb off in their lives."
Adventures of Superman,"Adventures of Superman (originally known as <i>The Adventures of Superman</i>) is an American syndicated children's television series based on comic book characters and concepts created in 1938 by Jerry Siegel and Joe Shuster. The series saw six seasons and one-hundred-four half-hour episodes. Sponsored by cereal manufacturer Kellogg's, the show's initial and final air dates are sometimes disputed but generally accepted as September 19, 1952 to April 28, 1958. The show's first two seasons were filmed in black-and-white while seasons four through six were filmed in color, though broadcast monochromatically.Adventures of Superman was the first television series to feature Superman though the superhero had appeared as a character in a radio program starring Bud Collyer, two theatrical serials starring Kirk Alyn and Noel Neill, and a series of Max Fleischer cartoons. The television series began filming in 1951 in Culver City, California with exterior locations filmed in and around the Los Angeles area and the San Fernando Valley. Episodes follow Superman as he battles gangsters, thugs, mad scientists, meteors and malfunctioning radioactive machines in the city of Metropolis. In the first episode, his origin on the planet Krypton and his arrival on Earth are dramatized while in succeeding episodes, he conceals his identity by posing as mild mannered Daily Planet reporter Clark Kent who, in times of crisis, scoots to a broom closet, sheds his civvies, and reappears in superhero tights and trunks to rescue hapless folk from the clutches of ne'er-do-wells. In the last seasons, the kindly but absent-minded Professor Pepperwinkle creates problems for Superman with his bizarre inventions.Adventures of Superman won no major awards but was popular with its audience and remains popular today. Its opening theme, The Superman March, has become a classic of its kind and is instantly recognizable by most television buffs. Since the show's cancellation, several of its stars have participated in Superman-related conventions, autograph signings, and other events. In 2003, Noel Neill published her memoirs Truth, Justice, and The American Way: The Life and Times of Noel Neill. In 2006, the death of George Reeves was dramatized in the film Hollywoodland with Ben Affleck starring in the role of Reeves. In 2006, the series became available in its entirety on DVD and reruns of the show still hold a place on television programming schedules."
Top Chef,"Top Chef is a competition show in which chefs competing against each other in various culinary challenges, judged by the team of professional chefs and notable people from food industry."
2 Broke Girls,"2 Broke Girls is a comedy about two young women waitressing at a greasy spoon diner who strike up an unlikely friendship in the hopes of launching a successful business - if only they can raise the cash. Sassy, streetwise Max Black works two jobs just to get by, one of which is waiting tables during the night shift at the retro-hip Williamsburg Diner. Sophisticated Caroline Channing is an uptown trust fund princess who's having a run of bad luck that forces her to reluctantly give waitressing a shot. At first, Max sees Caroline as yet another in a long line of inept servers she must cover for, but she's surprised to find that Caroline has as much substance as she does style.When Caroline discovers Max's knack for baking amazing cupcakes, she sees a lucrative future for them, but first they need to raise the start-up money. While they save their tips, they'll stay at the restaurant, working with Oleg, an overly flirtatious Russian cook; Earl, a 75-year-old kool-kat cashier; and Han Lee, the new, eager-to-please owner of the diner. Working together, these two broke girls living in one expensive city might just find the perfect recipe for their big break."
Hit the Floor,"Hit the Floor explores the sexy world of professional basketball and the dancers who make the fans (and players) go wild. The Los Angeles Devils are the number one team in the league. When the arena lights go on all of Hollywood comes out to support the million dollar players. But in this city these men share the fame, adrenalin, money, sex and power with their dancers, the Devil Girls."
Battle Creek,"A series about two mismatched law enforcement officers whose polar opposite views of the world and crime-solving breed frustration, disdain and humor as they clean up the hardscrabble streets of Battle Creek, Mich."
Eastbound & Down,"Burned out and broke, former big-league pitcher Kenny Powers returns home to North Carolina to teach PE at the local middle school he once attended--and sets his sights on winning back his high-school flame April."
Primeval: New World,A spin-off of the UK hit. Primeval: New World follows a team of scientists and animal experts that's called to action when dinosaurs appear in Vancouver.
Welcome to the Family,A single-camera comedy about two teens whose disparate families are bonded together after they fall in love and get pregnant.
Graceland,"Every year, the top graduates from the FBI Academy move from their classrooms at Quantico to their first assignments in the real world. For Agent Mike Warren, the dream has always been a post in Washington D.C. But the powers that be have other plans, and the young rookie is soon packing his bags for Graceland, a palatial beachfront mansion in Southern California that has become a cross-departmental boarding house for top undercover agents in the FBI, DEA and ICE."
Kitchen Nightmares,"Chef Gordon Ramsay of Hell's Kitchen fame is back, and this time he's hitting the road, exposing restaurants that are barely staying afloat."
Suburgatory,"Single father George Altman is doing his best to raise his sixteen-year-old daughter Tessa in the big city. When he discovers a box of condoms in her bedroom, though, he decides the time has come to move her to a more wholesome and nurturing environment: the suburbs. But behind the beautiful homes and perfect lawns lurk the Franken-moms, spray tans, nose jobs, and Red Bull-guzzling teens who have nothing in common with Tessa. It's a whole new world, one that makes George wonder if they haven't jumped out of the frying pan and into the fire."
